Country,CPI,CPI Change (%),Currency-Code,Gasoline Price,Minimum wage,Tax revenue (%),Total tax rate,Unemployment rate,
Afghanistan,149.9,2.30%,AFN,$0.70 ,$0.43 ,9.30%,71.40%,11.12%,
Albania,119.05,1.40%,ALL,$1.36 ,$1.12 ,18.60%,36.60%,12.33%,
Algeria,151.36,2.00%,DZD,$0.28 ,$0.95 ,37.20%,66.10%,11.70%,
Andorra,,,EUR,$1.51 ,$6.63 ,,,,
Angola,261.73,17.10%,AOA,$0.97 ,$0.71 ,9.20%,49.10%,6.89%,
Antigua and Barbuda,113.81,1.20%,XCD,$0.99 ,$3.04 ,16.50%,43.00%,,
Argentina,232.75,53.50%,ARS,$1.10 ,$3.35 ,10.10%,106.30%,9.79%,
Armenia,129.18,1.40%,AMD,$0.77 ,$0.66 ,20.90%,22.60%,16.99%,
Australia,119.8,1.60%,AUD,$0.93 ,$13.59 ,23.00%,47.40%,5.27%,
Austria,118.06,1.50%,EUR,$1.20 ,,25.40%,51.40%,4.67%,
Azerbaijan,156.32,2.60%,AZN,$0.56 ,$0.47 ,13.00%,40.70%,5.51%,
The Bahamas,116.22,2.50%,,$0.92 ,$5.25 ,14.80%,33.80%,10.36%,
Bahrain,117.59,2.10%,BHD,$0.43 ,,4.20%,13.80%,0.71%,
Bangladesh,179.68,5.60%,BDT,$1.12 ,$0.51 ,8.80%,33.40%,4.19%,
Barbados,134.09,4.10%,BBD,$1.81 ,$3.13 ,27.50%,35.60%,10.33%,
Belarus,,5.60%,BYN,$0.60 ,$1.49 ,14.70%,53.30%,4.59%,
Belgium,117.11,1.40%,EUR,$1.43 ,$10.31 ,24.00%,55.40%,5.59%,
Belize,105.68,-0.90%,BZD,$1.13 ,$1.65 ,26.30%,31.10%,6.41%,
Benin,110.71,-0.90%,XOF,$0.72 ,$0.39 ,10.80%,48.90%,2.23%,
Bhutan,167.18,2.70%,,$0.98 ,$0.32 ,16.00%,35.30%,2.34%,
Bolivia,148.32,1.80%,BOB,$0.71 ,$1.36 ,17.00%,83.70%,3.50%,
Bosnia and Herzegovina,104.9,0.60%,BAM,$1.05 ,$1.04 ,20.40%,23.70%,18.42%,
Botswana,149.75,2.80%,BWP,$0.71 ,$0.29 ,19.50%,25.10%,18.19%,
Brazil,167.4,3.70%,BRL,$1.02 ,$1.53 ,14.20%,65.10%,12.08%,
Brunei,99.03,-0.40%,BND,$0.37 ,,,8.00%,9.12%,
Bulgaria,114.42,3.10%,BGN,$1.11 ,$1.57 ,20.20%,28.30%,4.34%,
Burkina Faso,106.58,-3.20%,XOF,$0.98 ,$0.34 ,15.00%,41.30%,6.26%,
Burundi,182.11,-0.70%,BIF,$1.21 ,,13.60%,41.20%,1.43%,
Ivory Coast,111.61,-0.90%,XOF,$0.93 ,$0.36 ,11.80%,50.10%,3.32%,
